Distance,lat,lon,Elevation,depth
3049,39.81100552,-118.9998968,1253.817727,-1.253817727
3060,39.81109713,-118.999844,1253.734,-1.253734
3071,39.81118986,-118.9998147,1254.687182,-1.254687182
3082,39.81128575,-118.9998525,1253.443727,-1.253443727
3093,39.81138186,-118.9998944,1252.564455,-1.252564455
3104,39.81147795,-118.9999363,1252.407455,-1.252407455
3115,39.81157403,-118.9999782,1252.248636,-1.252248636
3126,39.81167014,-119.0000201,1252.430364,-1.252430364
3137,39.81176624,-119.000062,1252.776909,-1.252776909
3148,39.81186233,-119.0001039,1252.648091,-1.252648091
3159,39.81195843,-119.0001458,1252.556455,-1.252556455
3170,39.81205453,-119.0001877,1252.648091,-1.252648091
3181,39.81215063,-119.0002296,1252.057273,-1.252057273
3192,39.81220564,-119.0001873,1251.196364,-1.251196364
3203,39.81221957,-119.0000608,1251.380818,-1.251380818
3214,39.81223351,-118.9999343,1251.536545,-1.251536545
3225,39.81224742,-118.9998078,1251.751818,-1.251751818
3236,39.81226136,-118.9996813,1251.900636,-1.251900636
3247,39.81227283,-118.999578,1251.916364,-1.251916364
3258,39.81228118,-118.9994706,1252.104545,-1.252104545
3269,39.81228959,-118.9993423,1252.400909,-1.252400909
3280,39.81229799,-118.9992139,1252.711182,-1.252711182
3291,39.8123064,-118.9990856,1252.925,-1.252925
3302,39.81231481,-118.9989572,1252.958727,-1.252958727
3313,39.8122809,-118.998885,1252.841727,-1.252841727
3324,39.81218222,-118.9988988,1252.960091,-1.252960091
3335,39.81208285,-118.9989135,1253.134818,-1.253134818
3346,39.81198342,-118.9989281,1253.382182,-1.253382182
3357,39.81188407,-118.9989428,1253.597455,-1.253597455
3368,39.81178472,-118.9989575,1253.783545,-1.253783545
3379,39.81168536,-118.9989721,1253.854909,-1.253854909
3390,39.81158594,-118.9989868,1253.970273,-1.253970273
3401,39.81148691,-118.9990004,1254.115455,-1.254115455
3412,39.81141385,-118.998938,1253.909091,-1.253909091
3423,39.81135635,-118.9988299,1254.197727,-1.254197727
3434,39.81129886,-118.9987218,1254.307182,-1.254307182
3445,39.81124136,-118.9986137,1254.547091,-1.254547091
3456,39.81118386,-118.9985055,1254.828545,-1.254828545
